order x y placement_time restaurant ready_time 
o768 25093 21016 601 r19 630 
o53 28007 15478 149 r46 153 
o1566 28668 17804 516 r38 548 
o157 25210 18769 212 r54 231 
o1355 24913 29034 477 r244 497 
o1154 21772 17580 126 r35 128 
o1222 32683 5288 565 r31 577 
o854 29763 15366 110 r34 120 
o467 25601 17481 539 r14 553 
o255 25431 17975 610 r54 638 
o725 23670 18927 168 r2 178 
o45 26863 20359 562 r38 587 
o1398 29884 16154 600 r23 624 
o687 27977 16271 609 r63 625 
o504 24134 24276 619 r143 662 
o77 27096 16402 640 r59 671 
o1360 27914 16273 472 r119 476 
o155 28657 17184 125 r96 149 
o1317 28100 20787 221 r137 236 
o560 25536 22381 571 r186 588 
o1166 20936 24256 487 r185 489 
o555 26255 21309 128 r81 129 
o532 29462 12505 308 r88 309 
o949 26065 15922 219 r92 220 
o89 23288 18769 613 r54 643 
o1020 22798 20022 680 r91 726 
o464 27598 21188 113 r81 115 
o1667 30934 0 587 r70 599 
o640 28811 17145 151 r195 173 
o1625 27691 15517 541 r159 557 
o169 29572 13261 609 r66 620 
o1586 27970 20016 209 r136 219 
o914 23810 15033 715 r214 724 
o1096 29799 15747 458 r198 493 
o571 27798 16456 634 r113 652 
o788 27998 16250 495 r94 512 
o462 29996 15554 481 r177 499 
o1248 28009 20879 532 r87 547 
o260 23154 21151 581 r91 618 
o1309 28513 18263 618 r59 647 
o910 25563 21532 635 r78 678 
o780 26552 22741 476 r81 506 
o592 21316 19968 539 r140 557 
o635 25340 17058 238 r124 241 
o427 23278 11953 205 r92 206 
o1108 23137 19396 626 r57 628 
o254 26968 22976 611 r81 612 
o810 27001 19663 613 r210 639 
o119 25449 24764 257 r82 264 
o597 28766 15134 86 r129 136 
o1540 25444 11841 339 r145 357 
o114 25484 17542 651 r79 652 
o208 25932 26576 355 r81 358 
o569 30055 2205 572 r70 592 
o92 31578 11 618 r70 657 
o174 29974 16260 522 r73 525 
o1389 26747 26927 547 r57 549 
o1135 25675 21325 670 r188 671 
o1173 24829 22878 634 r117 649 
o1206 25139 22145 495 r81 499 
o719 26000 19492 429 r110 444 
o1492 28709 13935 536 r103 553 
o1253 28056 20846 131 r57 133 
o425 27264 18394 603 r112 625 
o387 29018 15887 133 r161 159 
o1224 26717 18976 708 r136 718 
o892 29237 14095 603 r129 653 
o576 27708 21429 528 r113 554 
o864 25527 16072 665 r115 680 
o792 24668 21441 577 r110 591 
o1070 28741 17196 627 r125 663 
o238 29439 15400 550 r121 575 
o1189 26229 24504 150 r137 168 
o325 25035 23896 540 r143 572 
o558 22696 25053 618 r185 619 
o1221 29556 13063 640 r129 690 
o228 28664 15064 506 r118 526 
o1270 29675 15345 245 r126 262 
o1104 28850 12618 582 r145 595 
o1337 28278 21159 322 r150 346 
o1605 24880 22441 649 r236 669 
o292 28915 15810 310 r133 313 
o658 21147 20754 649 r127 665 
o192 25664 18783 360 r107 380 
o816 27025 19248 426 r113 452 
o1477 30036 15412 579 r195 597 
o1219 27422 22244 600 r169 603 
o379 29768 16181 294 r160 318 
o1603 28111 14934 518 r159 543 
o827 21846 19656 687 r170 707 
o540 30039 15943 103 r157 108 
o1065 19602 35289 504 r229 519 
o1539 10920 32524 202 r252 230 
o1523 2196 33874 563 r245 586 
